PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title,gp
1,0,3,male,22,1,0,A/,7.25,0,S,Mr,3.01547888584
2,1,1,female,38,1,0,PC,71.2833,C,C,Mrs,-4.54542236161
3,1,3,female,26,0,0,STON/O.,7.925,0,S,Miss,-1.01264970468
4,1,1,female,35,1,0,,53.1,C,S,Mrs,-4.57725354059
5,0,3,male,35,0,0,,8.05,0,S,Mr,2.48431597344
6,0,3,male,,0,0,,8.4583,0,Q,Mr,4.50605480311
7,0,1,male,54,0,0,,51.8625,E,S,Mr,2.52424527959
8,0,3,male,2,3,1,,21.075,0,S,Master,6.56898004517
9,1,3,female,27,0,2,,11.1333,0,S,Mrs,-2.88323769422
10,1,2,female,14,1,0,,30.0708,0,C,Mrs,-4.50523087457
11,1,3,female,4,1,1,PP,16.7,G,S,Miss,-3.52026889642
12,1,1,female,58,0,0,,26.55,C,S,Miss,-3.91739888911
13,0,3,male,20,0,0,A/.,8.05,0,S,Mr,1.47115092102
14,0,3,male,39,1,5,,31.275,0,S,Mr,9.52407966888
15,0,3,female,14,0,0,,7.8542,0,S,Miss,-0.251192655223
16,1,2,female,55,0,0,,16,0,S,Mrs,-1.86277085197
17,0,3,male,2,4,1,,29.125,0,Q,Master,8.5394429216
18,1,2,male,,0,0,,13,0,S,Mr,2.71533581083
19,0,3,female,31,1,0,,18,0,S,Mrs,1.76529308517
20,1,3,female,,0,0,,7.225,0,C,Mrs,-0.876922012606
21,0,2,male,35,0,0,,26,0,S,Mr,2.52857829245
22,1,2,male,34,0,0,,13,D,S,Mr,0.0156816937752
23,1,3,female,15,0,0,,8.0292,0,Q,Miss,-2.56112843086
24,1,1,male,28,0,0,,35.5,A,S,Mr,1.37358157172
25,0,3,female,8,3,1,,21.075,0,S,Miss,2.30233885834
26,1,3,female,38,1,5,,31.3875,0,S,Mrs,-1.00037066316
27,0,3,male,,0,0,,7.225,0,C,Mr,2.68486645332
28,0,1,male,19,3,2,,263,C,S,Mr,3.4634321062
29,1,3,female,,0,0,,7.8792,0,Q,Miss,-0.474436420754
30,0,3,male,,0,0,,7.8958,0,S,Mr,3.58576404563
31,0,1,male,40,0,0,PC,27.7208,0,C,Mr,2.34745967119
32,1,1,female,,1,0,PC,146.5208,B,C,Mrs,-2.88667702513
33,1,3,female,,0,0,,7.75,0,Q,Miss,-0.0933823948547
34,0,2,male,66,0,0,C.A.,10.5,0,S,Mr,1.6302554974
35,0,1,male,28,1,0,PC,82.1708,0,C,Mr,2.04136380767
36,0,1,male,42,1,0,,52,0,S,Mr,1.59581260575
37,1,3,male,,0,0,,7.2292,0,C,Mr,1.79792076346
38,0,3,male,21,0,0,A./.,8.05,0,S,Mr,3.60223935119
39,0,3,female,18,2,0,,18,0,S,Miss,2.81796411096
40,1,3,female,14,1,0,,11.2417,0,C,Miss,-2.31761723648
41,0,3,female,40,1,0,,9.475,0,S,Mrs,0.286912728028
42,0,2,female,27,1,0,,21,0,S,Mrs,-0.147712575166
43,0,3,male,,0,0,,7.8958,0,C,Mr,3.12094797461
44,1,2,female,3,1,2,SC/Paris,41.5792,0,C,Miss,-6.94242560621
45,1,3,female,19,0,0,,7.8792,0,Q,Miss,1.42251136596
46,0,3,male,,0,0,S.C./A..,8.05,0,S,Mr,3.07200296389
47,0,3,male,,1,0,,15.5,0,Q,Mr,2.58024714539
48,1,3,female,,0,0,,7.75,0,Q,Miss,-0.0933823948547
49,0,3,male,,2,0,,21.6792,0,C,Mr,2.52739026725
50,0,3,female,18,1,0,,17.8,0,S,Mrs,1.70615730887
51,0,3,male,7,4,1,,39.6875,0,S,Master,6.84019057052
52,0,3,male,21,0,0,A/.,7.8,0,S,Mr,3.37815544992
53,1,1,female,49,1,0,PC,76.7292,D,C,Mrs,-8.36400410421
54,1,2,female,29,1,0,,26,0,S,Mrs,-2.15295211411
55,0,1,male,65,0,1,,61.9792,B,C,Mr,-1.51273480712
56,1,1,male,,0,0,,35.5,C,S,Mr,-0.121859161049
57,1,2,female,21,0,0,C.A.,10.5,0,S,Miss,-3.14275272276
58,0,3,male,28.5,0,0,,7.2292,0,C,Mr,1.81446058015
59,1,2,female,5,1,2,C.A.,27.75,0,S,Miss,-5.87021485892
60,0,3,male,11,5,2,CA,46.9,0,S,Master,8.22536756856
61,0,3,male,22,0,0,,7.2292,0,C,Mr,-0.0371588718515
62,1,1,female,38,0,0,,80,B,,Miss,-4.64571471056
63,0,1,male,45,1,0,,83.475,C,S,Mr,2.08953544884
64,0,3,male,4,3,2,,27.9,0,S,Master,5.84672372255
65,0,1,male,,0,0,PC,27.7208,0,C,Mr,2.62530931847
66,1,3,male,,1,1,,15.2458,0,C,Master,-0.507262960523
67,1,2,female,29,0,0,C.A.,10.5,F,S,Mrs,-3.37864498446
68,0,3,male,19,0,0,S.P.,8.1583,0,S,Mr,1.80089775658
69,1,3,female,17,4,2,,7.925,0,S,Miss,-3.30290779052
70,0,3,male,26,2,0,,8.6625,0,S,Mr,5.7570554553
71,0,2,male,32,0,0,C.A.,10.5,0,S,Mr,0.739116332378
72,0,3,female,16,5,2,CA,46.9,0,S,Miss,3.6896324214
73,0,2,male,21,0,0,S.O.C.,73.5,0,S,Mr,3.95332317229
74,0,3,male,26,1,0,,14.4542,0,C,Mr,3.15183599122
75,1,3,male,32,0,0,,56.4958,0,S,Mr,-3.47530022555
76,0,3,male,25,0,0,,7.65,F,S,Mr,1.26064599208
77,0,3,male,,0,0,,7.8958,0,S,Mr,3.58576404563
78,0,3,male,,0,0,,8.05,0,S,Mr,3.07200296389
79,1,2,male,0.83,0,2,,29,0,S,Master,-7.18104509174
80,1,3,female,30,0,0,,12.475,0,S,Miss,0.491123025469
81,0,3,male,22,0,0,,9,0,S,Mr,5.28189474412
82,1,3,male,29,0,0,,9.5,0,S,Mr,1.45626507581
83,1,3,female,,0,0,,7.7875,0,Q,Miss,-1.4968370166
84,0,1,male,28,0,0,,47.1,0,S,Mr,2.74011558566
85,1,2,female,17,0,0,SO/C,10.5,0,S,Miss,-2.99673276654
86,1,3,female,33,3,0,,15.85,0,S,Mrs,-0.946596194242
87,0,3,male,16,1,3,W./C.,34.375,0,S,Mr,5.06003842456
88,0,3,male,,0,0,SOTON/OQ,8.05,0,S,Mr,3.07200296389
89,1,1,female,23,3,2,,263,C,S,Miss,-6.9445069016
90,0,3,male,24,0,0,,8.05,0,S,Mr,3.66852079695
91,0,3,male,29,0,0,,8.05,0,S,Mr,4.04943913705
92,0,3,male,20,0,0,,7.8542,0,S,Mr,2.38327075544
93,0,1,male,46,1,0,W.E.P.,61.175,E,S,Mr,3.59951184939
94,0,3,male,26,1,2,C.A.,20.575,0,S,Mr,1.85581799819
95,0,3,male,59,0,0,,7.25,0,S,Mr,3.87150209419
96,0,3,male,,0,0,,8.05,0,S,Mr,3.07200296389
97,0,1,male,71,0,0,PC,34.6542,A,C,Mr,6.14163809352
98,1,1,male,23,0,1,PC,63.3583,D,C,Mr,-1.10370549779
99,1,2,female,34,0,1,,23,0,S,Mrs,-4.94693020031
100,0,2,male,34,1,0,,26,0,S,Mr,2.48102204572
101,0,3,female,28,0,0,,7.8958,0,S,Miss,0.110258668737
102,0,3,male,,0,0,,7.8958,0,S,Mr,3.58576404563
103,0,1,male,21,0,1,,77.2875,D,S,Mr,1.72503647534
104,0,3,male,33,0,0,,8.6542,0,S,Mr,3.578360576
105,0,3,male,37,2,0,,7.925,0,S,Mr,2.15165831226
106,0,3,male,28,0,0,,7.8958,0,S,Mr,4.39778859367
107,1,3,female,21,0,0,,7.65,0,S,Miss,0.62332598416
108,1,3,male,,0,0,,7.775,0,S,Mr,3.15715986352
109,0,3,male,38,0,0,,7.8958,0,S,Mr,3.89102775614
110,1,3,female,,1,0,,24.15,0,Q,Miss,-1.9898476146
111,0,1,male,47,0,0,,52,C,S,Mr,0.977367598203
112,0,3,female,14.5,1,0,,14.4542,0,C,Miss,1.53889152125
113,0,3,male,22,0,0,,8.05,0,S,Mr,3.32195878975
114,0,3,female,20,1,0,,9.825,0,S,Miss,0.29814795452
115,0,3,female,17,0,0,,14.4583,0,C,Miss,0.541856513865
116,0,3,male,21,0,0,STON/O .,7.925,0,S,Mr,2.33036808094
117,0,3,male,70.5,0,0,,7.75,0,Q,Mr,2.71361287583
118,0,2,male,29,1,0,,21,0,S,Mr,5.01924703795
119,0,1,male,24,0,1,PC,247.5208,B,C,Mr,1.9157436314
120,0,3,female,2,4,2,,31.275,0,S,Miss,4.5548877988
121,0,2,male,21,2,0,S.O.C.,73.5,0,S,Mr,5.09066960647
122,0,3,male,,0,0,A.,8.05,0,S,Mr,3.07200296389
123,0,2,male,32.5,1,0,,30.0708,0,C,Mr,1.1419696867
124,1,2,female,32.5,0,0,,13,E,S,Miss,-1.85691863419
125,0,1,male,54,0,1,,77.2875,D,S,Mr,1.45540629287
126,1,3,male,12,1,0,,11.2417,0,C,Master,-0.831995133789
127,0,3,male,,0,0,,7.75,0,Q,Mr,2.83899092114
128,1,3,male,24,0,0,C,7.1417,0,S,Mr,4.18840247979
129,1,3,female,,1,1,,22.3583,F,C,Miss,-2.5931257843
130,0,3,male,45,0,0,,6.975,0,S,Mr,-0.788372048538
131,0,3,male,33,0,0,,7.8958,0,C,Mr,1.5008240306
132,0,3,male,20,0,0,SOTON/O.Q.,7.05,0,S,Mr,2.52425103495
133,0,3,female,47,1,0,A/.,14.5,0,S,Mrs,1.13993135276
134,1,2,female,29,1,0,,26,0,S,Mrs,-2.15295211411
135,0,2,male,25,0,0,C.A.,13,0,S,Mr,3.3994253841
136,0,2,male,23,0,0,SC/PARIS,15.0458,0,C,Mr,3.75302996164
137,1,1,female,19,0,2,,26.2833,D,S,Miss,-3.34053398143
138,0,1,male,37,1,0,,53.1,C,S,Mr,-0.68401125453
139,0,3,male,16,0,0,,9.2167,0,S,Mr,1.32728769192
140,0,1,male,24,0,0,PC,79.2,B,C,Mr,3.826573376
141,0,3,female,,0,2,,15.2458,0,C,Mrs,1.57254225266
142,1,3,female,22,0,0,,7.75,0,S,Miss,0.20830288426
143,1,3,female,24,1,0,STON/O.,15.85,0,S,Mrs,-1.54935400877
144,0,3,male,19,0,0,,6.75,0,Q,Mr,2.38320034226
145,0,2,male,18,0,0,,11.5,0,S,Mr,3.57261942413
146,0,2,male,19,1,1,C.A.,36.75,0,S,Mr,2.32507255811
147,1,3,male,27,0,0,,7.7958,0,S,Mr,0.31383210012
148,0,3,female,9,2,2,W./C.,34.375,0,S,Miss,2.09715709219
149,0,2,male,36.5,0,2,,26,F,S,Mr,1.62620672938
150,0,2,male,42,0,0,,13,0,S,Mr,2.59658037709
151,0,2,male,51,0,0,S.O.P.,12.525,0,S,Mr,1.48645243295
152,1,1,female,22,1,0,,66.6,C,S,Mrs,-4.31462090809
153,0,3,male,55.5,0,0,A..,8.05,0,S,Mr,3.23378524655
154,0,3,male,40.5,0,2,A/.,14.5,0,S,Mr,2.46547947494
155,0,3,male,,0,0,Fa,7.3125,0,S,Mr,2.69460881736
156,0,1,male,51,0,1,PC,61.3792,0,C,Mr,0.280205146117
157,1,3,female,16,0,0,,7.7333,0,Q,Miss,-0.53341163363
158,0,3,male,30,0,0,SOTON/OQ,8.05,0,S,Mr,5.52689250614
159,0,3,male,,0,0,,8.6625,0,S,Mr,3.56295095519
160,0,3,male,,8,2,CA.,69.55,0,S,Master,19.2214639846
161,0,3,male,44,0,1,,16.1,0,S,Mr,-0.804567387083
162,1,2,female,40,0,0,C.A.,15.75,0,S,Mrs,-5.75336524941
163,0,3,male,26,0,0,,7.775,0,S,Mr,2.19227374642
164,0,3,male,17,0,0,,8.6625,0,S,Mr,5.04582076992
165,0,3,male,1,4,1,,39.6875,0,S,Master,3.81352645311
166,1,3,male,9,0,2,,20.525,0,S,Master,-1.77753890598
167,1,1,female,,0,1,,55,E,S,Mrs,-4.79934292692
168,0,3,female,45,1,4,,27.9,0,S,Mrs,5.2419272503
169,0,1,male,,0,0,PC,25.925,0,S,Mr,1.67894062868
170,0,3,male,28,0,0,,56.4958,0,S,Mr,1.59233848709
171,0,1,male,61,0,0,,33.5,B,S,Mr,5.34079699151
172,0,3,male,4,4,1,,29.125,0,Q,Master,6.89952254653
173,1,3,female,1,1,1,,11.1333,0,S,Miss,-2.12999876379
174,0,3,male,21,0,0,STON/O .,7.925,0,S,Mr,2.33036808094
175,0,1,male,56,0,0,,30.6958,A,C,Mr,2.26263740062
176,0,3,male,18,1,1,,7.8542,0,S,Mr,4.26901396553
177,0,3,male,,3,1,,25.4667,0,S,Master,9.8181479594
178,0,1,female,50,0,0,PC,28.7125,C,C,Miss,-4.0207347318
179,0,2,male,30,0,0,,13,0,S,Mr,4.38976271692
180,0,3,male,36,0,0,LINE,0,0,S,Mr,3.38160937196
181,0,3,female,,8,2,CA.,69.55,0,S,Miss,17.2701339457
182,0,2,male,,0,0,SC/PARIS,15.05,0,C,Mr,3.43945402408
183,0,3,male,9,4,2,,31.3875,0,S,Master,2.7817503445
184,1,2,male,1,2,1,,39,F,S,Master,-6.30555402715
185,1,3,female,4,0,2,,22.025,0,S,Miss,-4.09809266713
186,0,1,male,,0,0,,50,A,S,Mr,0.289373276286
187,1,3,female,,1,0,,15.5,0,Q,Mrs,-0.73088579977
188,1,1,male,45,0,0,,26.55,0,S,Mr,1.07197107198
189,0,3,male,40,1,1,,15.5,0,Q,Mr,1.61881273113
190,0,3,male,36,0,0,,7.8958,0,S,Mr,4.41491380924
191,1,2,female,32,0,0,,13,0,S,Mrs,-1.82628789214
192,0,2,male,19,0,0,,13,0,S,Mr,3.75704779465
193,1,3,female,19,1,0,,7.8542,0,S,Miss,1.59792612821
194,1,2,male,3,1,1,,26,F,S,Master,-3.29627617701
195,1,1,female,44,0,0,PC,27.7208,B,C,Mrs,-7.77466053688
196,1,1,female,58,0,0,PC,146.5208,B,C,Miss,-3.23506903758
197,0,3,male,,0,0,,7.75,0,Q,Mr,2.83899092114
198,0,3,male,42,0,1,,8.4042,0,S,Mr,3.31639261933
199,1,3,female,,0,0,,7.75,0,Q,Miss,-0.0933823948547
200,0,2,female,24,0,0,,13,0,S,Miss,-1.27701077453
201,0,3,male,28,0,0,,9.5,0,S,Mr,2.36673572203
202,0,3,male,,8,2,CA.,69.55,0,S,Mr,19.2214639846
203,0,3,male,34,0,0,,6.4958,0,S,Mr,1.51676212811
204,0,3,male,45.5,0,0,,7.225,0,C,Mr,1.71509192175
205,1,3,male,18,0,0,A/,8.05,0,S,Mr,1.41129849272
206,0,3,female,2,0,1,,10.4625,G,S,Miss,1.44712636873
207,0,3,male,32,1,0,,15.85,0,S,Mr,1.26086922826
208,1,3,male,26,0,0,,18.7875,0,C,Mr,-0.125952471483
209,1,3,female,16,0,0,,7.75,0,Q,Miss,-0.303397648353
210,1,1,male,40,0,0,,31,A,C,Mr,-0.737292736124
211,0,3,male,24,0,0,SOTON/O.Q.,7.05,0,S,Mr,3.79362328631
212,1,2,female,35,0,0,F.C.C.,21,0,S,Miss,-0.933258466703
213,0,3,male,22,0,0,A/,7.25,0,S,Mr,2.47476316033
214,0,2,male,30,0,0,,13,0,S,Mr,4.38976271692
215,0,3,male,,1,0,,7.75,0,Q,Mr,2.21396844075
216,1,1,female,31,1,0,,113.275,D,C,Miss,-1.5768956364
217,1,3,female,27,0,0,STON/O.,7.925,0,S,Miss,-1.55847680883
218,0,2,male,42,1,0,,27,0,S,Mr,4.15356603288
219,1,1,female,32,0,0,,76.2917,D,C,Miss,-6.74976989615
220,0,2,male,30,0,0,W/C,10.5,0,S,Mr,0.893705435696
221,1,3,male,16,0,0,SOTON/OQ,8.05,0,S,Mr,1.4842949067
222,0,2,male,27,0,0,,13,0,S,Mr,2.44534213387
223,0,3,male,51,0,0,,8.05,0,S,Mr,1.66213609294
224,0,3,male,,0,0,,7.8958,0,S,Mr,3.58576404563
225,1,1,male,38,1,0,,90,C,S,Mr,0.840012260001
226,0,3,male,22,0,0,PP,9.35,0,S,Mr,3.61934842141
227,1,2,male,19,0,0,SW/PP,10.5,0,S,Mr,0.621900250409
228,0,3,male,20.5,0,0,A/,7.25,0,S,Mr,4.7007960694
229,0,2,male,18,0,0,,13,0,S,Mr,3.69995137597
230,0,3,female,,3,1,,25.4667,0,S,Miss,7.63462217129
231,1,1,female,35,1,0,,83.475,C,S,Mrs,-4.39274037211
232,0,3,male,29,0,0,,7.775,0,S,Mr,3.08885406966
233,0,2,male,59,0,0,,13.5,0,S,Mr,4.17691908862
234,1,3,female,5,4,2,,31.3875,0,S,Miss,-3.20541965954
235,0,2,male,24,0,0,C.A.,10.5,0,S,Mr,-0.715687280253
236,0,3,female,,0,0,W./C.,7.55,0,S,Miss,-0.750197769261
237,0,2,male,44,1,0,,26,0,S,Mr,4.16518433319
238,1,2,female,8,0,2,C.A.,26.25,0,S,Miss,-4.89675134797
239,0,2,male,19,0,0,,10.5,0,S,Mr,0.621900250409
240,0,2,male,33,0,0,SCO/W,12.275,0,S,Mr,3.60211155893
241,0,3,female,,1,0,,14.4542,0,C,Miss,0.811365388082
242,1,3,female,,1,0,,15.5,0,Q,Miss,-0.73088579977
243,0,2,male,29,0,0,W./C.,10.5,0,S,Mr,2.73351130982
244,0,3,male,22,0,0,STON/O .,7.125,0,S,Mr,3.54459462384
245,0,3,male,30,0,0,,7.225,0,C,Mr,2.75748855057
246,0,1,male,44,2,0,,90,C,Q,Mr,5.60373535636
247,0,3,female,25,0,0,,7.775,0,S,Miss,0.916383224183
248,1,2,female,24,0,2,,14.5,0,S,Mrs,-4.61204524222
249,1,1,male,37,1,1,,52.5542,D,S,Mr,-1.60045081008
250,0,2,male,54,1,0,,26,0,S,Mr,2.48795262647
251,0,3,male,,0,0,,7.25,0,S,Mr,3.42089078364
252,0,3,female,29,1,1,,10.4625,G,S,Mrs,3.57976222394
253,0,1,male,62,0,0,,26.55,C,S,Mr,2.95071702957
254,0,3,male,30,1,0,A/.,16.1,0,S,Mr,3.39850541439
255,0,3,female,41,0,2,,20.2125,0,S,Mrs,0.398610356992
256,1,3,female,29,0,2,,15.2458,0,C,Mrs,-0.36141652576
257,1,1,female,,0,0,PC,79.2,0,C,Mrs,-4.91346357942
258,1,1,female,30,0,0,,86.5,B,S,Miss,-6.26410800414
259,1,1,female,35,0,0,PC,512.3292,0,C,Miss,-467.231296031
260,1,2,female,50,0,1,,26,0,S,Mrs,-1.91018284544
261,0,3,male,,0,0,,7.75,0,Q,Mr,2.83899092114
262,1,3,male,3,4,2,,31.3875,0,S,Master,-1.77472244122
263,0,1,male,52,1,1,,79.65,E,S,Mr,-0.342373905738
264,0,1,male,40,0,0,,0,B,S,Mr,1.95876486223
265,0,3,female,,0,0,,7.75,0,Q,Miss,-0.0933823948547
266,0,2,male,36,0,0,C.A.,10.5,0,S,Mr,0.763073106127
267,0,3,male,16,4,1,,39.6875,0,S,Mr,4.66759410389
268,1,3,male,25,1,0,,7.775,0,S,Mr,2.59592124879
269,1,1,female,58,0,1,PC,153.4625,C,S,Mrs,-3.82878828214
270,1,1,female,35,0,0,PC,135.6333,C,S,Miss,-6.44940297907
271,0,1,male,,0,0,,31,0,S,Mr,-0.448957336439
272,1,3,male,25,0,0,LINE,0,0,S,Mr,0.119131906233
273,1,2,female,41,0,1,,19.5,0,S,Mrs,-5.99656843684
274,0,1,male,37,0,1,PC,29.7,C,C,Mr,1.35475531042
275,1,3,female,,0,0,,7.75,0,Q,Miss,-0.0933823948547
276,1,1,female,63,1,0,,77.9583,D,S,Miss,-2.68326319975
277,0,3,female,45,0,0,,7.75,0,S,Miss,1.36793195163
278,0,2,male,,0,0,,0,0,S,Mr,4.93001919653
279,0,3,male,7,4,1,,29.125,0,Q,Master,6.8811001487
280,1,3,female,35,1,1,C.A.,20.25,0,S,Mrs,-0.797418945975
281,0,3,male,65,0,0,,7.75,0,Q,Mr,3.69154272503
282,0,3,male,28,0,0,,7.8542,0,S,Mr,4.5755153295
283,0,3,male,16,0,0,,9.5,0,S,Mr,1.35895182312
284,1,3,male,19,0,0,A/.,8.05,0,S,Mr,1.53281510867
285,0,1,male,,0,0,,26,A,S,Mr,0.280329114516
286,0,3,male,33,0,0,,8.6625,0,C,Mr,4.08361486307
287,1,3,male,30,0,0,,9.5,0,S,Mr,2.42972583305
288,0,3,male,22,0,0,,7.8958,0,S,Mr,3.53051165679
289,1,2,male,42,0,0,,13,0,S,Mr,2.59658037709
290,1,3,female,22,0,0,,7.75,0,Q,Miss,-0.441228267578
291,1,1,female,26,0,0,,78.85,0,S,Miss,-3.00408642909
292,1,1,female,19,1,0,,91.0792,B,C,Mrs,-9.69280491758
293,0,2,male,36,0,0,SC/Paris,12.875,D,C,Mr,5.65058118163
294,0,3,female,24,0,0,,8.85,0,S,Miss,0.362976946785
295,0,3,male,24,0,0,,7.8958,0,S,Mr,3.69988500502
